Designator,Mid X,Mid Y,Rotation,Layer
C1,142.098005,-106.804034,180.0,bottom
C2,141.605,-90.805,0.0,bottom
J1,141.605,-100.965,0.0,top
J2,141.605,-113.025,270.0,bottom
U1,141.605,-99.06,270.0,bottom
